KNN,LDA,LogR,DT,RF10,Dataset,folds
0.9955926299714398,0.9194520935151488,0.9509749778771597,0.992622960982419,0.9983293562342486,Class,10
0.9954703096907471,0.9216598707108103,0.9529050357704796,0.99240056361967,0.998236175846277,Class,10
0.9957080132595755,0.9202587113038828,0.9524151522799058,0.9920478260409328,0.9982623229530325,Class,10
0.996240570089331,0.9206913189207026,0.9524839453222397,0.9927092392588459,0.9981338251840063,Class,10
0.9956727647088173,0.9203560529023072,0.9537608429524878,0.9924360432045862,0.9983333748836878,Class,10
0.9960173746105108,0.91915355101696,0.9518481086558919,0.9924815532089718,0.9982296853144329,Class,10
0.9957616684525075,0.9219150461121548,0.9535260216185175,0.9925064430255108,0.998321902369132,Class,10
0.9954704688934425,0.9214779545195755,0.9528710940482052,0.9926940024800286,0.9981192644228619,Class,10
0.9958668772666209,0.9176175300287721,0.9514441656410787,0.9921544249316275,0.9981830361282061,Class,10
0.9963675471791806,0.9181841007108067,0.9508089009875903,0.9933224104186118,0.9984049876839166,Class,10
